set_num,source,source_url,source_label
10272-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
10281-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
42068-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
60010-2,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
60010-3,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
116-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
119-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
126-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7745-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7660-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
75192-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8654-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
31058-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
10298-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
7344-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
75355-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
254-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
60349-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
40725-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
10552-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
71741-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
42129-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
4551-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
42171-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
75402-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
75581-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
42125-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8880-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
3274-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8672-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
955-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8111-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8843-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
21350-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
8266-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
4884-1,bricklink,https://www.bricklink.com/catalogRelList.asp?relID=25,Sets Redesigned During Production
