SetNumber,URL,Description,DateAdded,DateModified
"9641-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4558337.pdf","BI 6003/60 BOOK 3","25/09/2020 00:00:00","02/04/2013 00:00:00"
"9674-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003445.pdf","BI 3001/32 - 9674 V 29/39","02/03/2012 00:00:00","11/10/2011 00:00:00"
"9674-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003442.pdf","BI 3001/32 - 9674 V29/39","01/01/2012 00:00:00","11/10/2011 00:00:00"
"9675-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003447.pdf","BI 3001/32 - 9675 V 29","01/01/2012 00:00:00","11/10/2011 00:00:00"
"9675-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003450.pdf","BI 3001/32 - 9675 V 39","02/03/2012 00:00:00","11/10/2011 00:00:00"
"9676-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6014993.pdf","BI 3001/32 - 9676 V 29","02/03/2012 00:00:00","06/02/2012 00:00:00"
"9676-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6015071.pdf","BI 3001/32 - 9676 V 39","02/03/2012 00:00:00","06/02/2012 00:00:00"
"9677-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003519.pdf","BI 3001/32 - 9677 V 29/39","01/06/2012 00:00:00","16/05/2012 00:00:00"
"9677-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003521.pdf","BI 3001/32 - 9677 V 29/39","01/06/2012 00:00:00","16/05/2012 00:00:00"
"9678-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003522.pdf","BI 3001/32 - 9678 V 29/39","01/06/2012 00:00:00","08/06/2012 00:00:00"
"9678-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003523.pdf","BI 3001/32 - 9678 V 29/39","01/06/2012 00:00:00","08/06/2012 00:00:00"
"9679-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003524.pdf","BI 3001/32 - 9679 V 29/39","01/06/2012 00:00:00","08/06/2012 00:00:00"
"9679-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6003527.pdf","BI 3001/32 - 9679 V 29/39","01/06/2012 00:00:00","08/06/2012 00:00:00"
"9680-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4235862.pdf","BUILDING INSTRUCTION 9680","01/01/2010 00:00:00","23/09/2003 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549649.pdf","BI 6003/24 - BOOK 11 FOR 9686","01/01/2010 00:00:00","13/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549643.pdf","BI 6003/24 - BOOK 5 FOR 9686","01/01/2010 00:00:00","13/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549647.pdf","BI 6003/28 - BOOK 9 FOR 9686","01/01/2010 00:00:00","13/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549650.pdf","BI 6003/32 - BOOK 12 FOR 9686","01/01/2010 00:00:00","13/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549652.pdf","BI 6003/32 - BOOK 14 FOR 9686","01/01/2010 00:00:00","13/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549653.pdf","BI 6003/32 - BOOK 15 FOR 9686","01/01/2010 00:00:00","13/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549651.pdf","BI 6003/36 - BOOK 13 FOR 9686","01/01/2010 00:00:00","13/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549641.pdf","BI 6003/36 - BOOK 3 FOR 9686","01/01/2010 00:00:00","13/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549639.pdf","BI 6003/40 - BOOK 1 FOR 9686","01/01/2010 00:00:00","13/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549648.pdf","BI 6003/44 - BOOK 10 FOR 9686","25/09/2020 00:00:00","20/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549642.pdf","BI 6003/52 - BOOK 4 FOR 9686","25/09/2020 00:00:00","20/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549644.pdf","BI 6003/60 - BOOK 6 FOR 9686","25/09/2020 00:00:00","20/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549640.pdf","BI 6003/64 - BOOK 2 FOR 9686","25/09/2020 00:00:00","20/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549646.pdf","BI 6003/68 - BOOK 8 FOR 9686","25/09/2020 00:00:00","20/01/2010 00:00:00"
"9686-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549645.pdf","BI 6003/72 -  BOOK 7 FOR 9686","25/09/2020 00:00:00","20/01/2010 00:00:00"
"9688-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6173230.pdf","BI 6003/32, 9688 V120, 1/5","25/09/2020 00:00:00","24/09/2019 00:00:00"
"9688-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6170010.pdf","BI 6003/36, 9688 V120, 4/5","25/09/2020 00:00:00","24/09/2019 00:00:00"
"9688-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6170008.pdf","BI 6003/44, 9688 V120, 3/5","25/09/2020 00:00:00","24/09/2019 00:00:00"
"9688-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4610324.pdf","BI 6003/44-9688-V.46-3/5","01/08/2010 00:00:00","06/05/2010 00:00:00"
"9688-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6170006.pdf","BI 6003/52, 9688 V120, 2/5","25/09/2020 00:00:00","24/09/2019 00:00:00"
"9688-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/6170011.pdf","BI 6003/64, 9688 V120, 5/5","25/09/2020 00:00:00","24/09/2019 00:00:00"
"9785-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4191042.pdf","LED BUILD. INSTRUCT. 9785/9786","01/01/2010 00:00:00","03/04/2003 00:00:00"
"9797-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4634048.pdf","BI  - FCC INFORMATION SHEET","01/01/2011 00:00:00","02/11/2010 00:00:00"
"9797-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4603019.pdf","BI 2002/ 2 - BATTERY INFO","01/06/2012 00:00:00","14/04/2015 00:00:00"
"9797-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4556207.pdf","BI 3005/72 FOR 9797","18/06/2020 00:00:00","14/04/2015 00:00:00"
"10000-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4166176.pdf","BUILDING INSTRUCTION 10000","01/01/2010 00:00:00","07/11/2002 00:00:00"
"10001-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4167345.pdf","BUILDING INSTRUCTION 10001","01/01/2010 00:00:00","22/06/2002 00:00:00"
"10002-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4167344.pdf","BUILDING INSTRUCTION 10002","01/01/2010 00:00:00","30/11/2002 00:00:00"
"10013-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4168265.pdf","BUILDING INSTRUCTION 10013","01/01/2010 00:00:00","05/11/2002 00:00:00"
"10014-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4168267.pdf","BUILDING INSTRUCTION 10014","01/01/2010 00:00:00","30/10/2002 00:00:00"
"10015-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4168270.pdf","BUILDING INSTRUCTION 10015","01/01/2010 00:00:00","04/12/2002 00:00:00"
"10016-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4168273.pdf","BUILDING INSTRUCTION 10016","01/01/2010 00:00:00","30/11/2002 00:00:00"
"10017-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4168277.pdf","BUILDING INSTRUCTION 10017","01/01/2010 00:00:00","30/11/2002 00:00:00"
"10018-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4170702.pdf","BUILDING INSTRUCTION 10018","01/01/2010 00:00:00","07/08/2007 00:00:00"
"10019-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4170703.pdf","BUILDING INSTRUCTION 10019","01/01/2010 00:00:00","18/01/2002 00:00:00"
"10020-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4179516.pdf","BUILDING INSTRUCTION 10020","01/01/2010 00:00:00","03/03/2002 00:00:00"
"10021-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4191768.pdf","BUILDING INSTRUCTION 10021","01/01/2010 00:00:00","16/06/2003 00:00:00"
"10022-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4194362.pdf","BUILD. INSTRUCTION 10022-1","01/01/2010 00:00:00","17/08/2002 00:00:00"
"10022-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4194363.pdf","BUILDING INSTR. 10022-2","01/01/2010 00:00:00","17/08/2002 00:00:00"
"10022-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4194356.pdf","BUILDING INSTR. 10022-3","01/01/2010 00:00:00","17/08/2002 00:00:00"
"10023-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4183378.pdf","BUILDING INSTRUCTION 10023","01/01/2010 00:00:00","30/10/2002 00:00:00"
"10024-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4183253.pdf","BUILDING INSTRUCTION 10024","01/01/2010 00:00:00","15/06/2002 00:00:00"
"10025-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4194367.pdf","BUILDING INSTR. 10025-1","01/01/2010 00:00:00","17/08/2002 00:00:00"
"10025-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4194358.pdf","BUILDING INSTR. 10025-2","01/01/2010 00:00:00","17/08/2002 00:00:00"
"10026-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4192054.pdf","BUILDING INSTRUCTION 10026","01/01/2010 00:00:00","30/09/2003 00:00:00"
"10027-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4219300.pdf","BUILDING INSTRUCTION 10027","01/01/2010 00:00:00","10/04/2003 00:00:00"
"10029-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4233750.pdf","BUILDING INSTRUCTION 10029 IN","01/01/2010 00:00:00","06/10/2003 00:00:00"
"10029-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4233753.pdf","BUILDING INSTRUCTION 10029 NA","01/01/2010 00:00:00","06/10/2003 00:00:00"
"10030-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4187320.pdf","BUILDING INSTRUCTION 10030","01/01/2010 00:00:00","14/11/2002 00:00:00"
"10036-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4179189.pdf","BUILDING INSTRUCTION 10036","01/01/2010 00:00:00","17/08/2002 00:00:00"
"10037-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4181697.pdf","BUILDING INSTRUCTION 10037","01/01/2010 00:00:00","17/08/2002 00:00:00"
